ID,COMUNA,PRESUPUESTO DECRETADO(M$),GASTO (M$),SALDO (M$)
421,VALPARAISO,399883,188346.448,211536.552
423,VALPARAISO,473088,56.707,473031.293
424,VALPARAISO,1896526,573960.407,1322565.593
425,VALPARAISO,511250,71926.811,439323.189
426,VALPARAISO,16707563,9419908.002,7287654.998
428,PETORCA,160161,0,160161
429,LA LIGUA,2149260,0,2149260
433,VALPARAISO,66000,23718.503,42281.497
440,LA LIGUA,184536,0,184536
441,LA LIGUA,307119,0,307119
442,LA LIGUA,127572,48051.644,79520.356
443,PETORCA,145660,84736.165,60923.83500000001
445,PETORCA,125950,72571.41900000001,53378.58099999999
452,VALPARAISO,147930,0,147930
453,VALPARAISO,1767573,0,1767573
454,VALPARAISO,247844,0,247844
455,VALPARAISO,96600,0,96600
456,VALPARAISO,195168,0,195168
458,VALPARAISO,206980,248.771,206731.229
464,LA LIGUA,374998,75.609,374922.391
473,PETORCA,630183,37675.265,592507.735
484,LA LIGUA,330,0,330
494,LA LIGUA,287000,146758.125,140241.875
505,VALPARAISO,1310000,1902.078,1308097.922
525,VALPARAISO,15338,0,15338
531,LA LIGUA,15338,0,15338
532,LA LIGUA,15340,0,15340
540,VALPARAISO,120900,75067.213,45832.787
541,VALPARAISO,1834898,1280304.655,554593.345
556,VALPARAISO,769574,688279.659,81294.34100000006
558,LA LIGUA,332575,316919.467,15655.533000000003
560,PETORCA,769945,728550.981,41394.019
562,VALPARAISO,250868,250599.517,268.48300000000745
574,VALPARAISO,167425,0,167425
577,PETORCA,946203,206328.014,739874.986
578,PETORCA,26498,20488.289,6009.710999999999
